REF ENTITY|PRODUCT TYPE|TOTAL NUMBER OFCLEARING DEALERS|AVERAGE MONTHLY CLEARING DEALERS|AVERAGE DAILY NOTIONAL (USD EQ)|AVERAGE NUMBER TRADES/DAY
CDX.EM.33|Untranched|7|4.0|100,000,000|11
CDX.EM.34|Untranched|8|7.3|1,475,000,000|110
CDX.NA.HY.27|Untranched|2|0.7|50,000,000|1
CDX.NA.HY.28|Untranched|1|0.3|25,000,000|0
CDX.NA.HY.29|Untranched|4|1.7|75,000,000|2
CDX.NA.HY.30|Untranched|4|1.7|25,000,000|1
CDX.NA.HY.31|Tranched|7|5.7|25,000,000|2
CDX.NA.HY.31|Untranched|5|2.0|125,000,000|2
CDX.NA.HY.32|Untranched|4|1.7|75,000,000|1
CDX.NA.HY.33|Tranched|6|5.3|50,000,000|3
CDX.NA.HY.33|Untranched|5|2.0|225,000,000|4
CDX.NA.HY.34|Untranched|6|3.3|225,000,000|10
CDX.NA.HY.35|Untranched|9|8.7|6,075,000,000|431
CDX.NA.IG.26|Untranched|1|0.3|25,000,000|0
CDX.NA.IG.27|Untranched|0|0.0|50,000,000|0
CDX.NA.IG.28|Untranched|0|0.0|50,000,000|0
CDX.NA.IG.29|Tranched|3|2.3|75,000,000|1
CDX.NA.IG.29|Untranched|1|0.3|125,000,000|1
CDX.NA.IG.30|Untranched|0|0.0|25,000,000|0
CDX.NA.IG.31|Tranched|6|2.3|50,000,000|0
CDX.NA.IG.31|Untranched|1|0.3|125,000,000|1
CDX.NA.IG.32|Untranched|5|2.3|50,000,000|1
CDX.NA.IG.33|Tranched|7|5.0|75,000,000|3
CDX.NA.IG.33|Untranched|4|2.7|600,000,000|6
CDX.NA.IG.34|Untranched|7|5.3|1,675,000,000|23
CDX.NA.IG.35|Untranched|9|9.0|19,850,000,000|384
CMBX.NA.AAA.10|Untranched|5|4.0|50,000,000|2
CMBX.NA.AAA.8|Untranched|5|2.0|25,000,000|0
CMBX.NA.BBB-.6|Untranched|8|7.0|75,000,000|12
IBOXX USD LIQUID HIGH YIELD INDEX SERIES 1|Untranched|8|6.3|300,000,000|14
ITRAXX ASIA EX-JAPAN IG SERIES 25|Untranched|1|0.3|25,000,000|0
ITRAXX ASIA EX-JAPAN IG SERIES 32|Untranched|1|0.3|25,000,000|3
ITRAXX ASIA EX-JAPAN IG SERIES 33|Untranched|0|0.0|25,000,000|0
ITRAXX ASIA EX-JAPAN IG SERIES 34|Untranched|6|5.0|250,000,000|16
ITRAXX AUSTRALIA SERIES 32|Untranched|0|0.0|25,000,000|0
ITRAXX AUSTRALIA SERIES 34|Untranched|8|3.3|150,000,000|9
ITRAXX EUROPE CROSSOVER SERIES 25|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 26|Untranched|1|0.3|25,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 27|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE CROSSOVER SERIES 28|Untranched|1|0.7|100,000,000|2
ITRAXX EUROPE CROSSOVER SERIES 29|Untranched|0|0.0|50,000,000|2
ITRAXX EUROPE CROSSOVER SERIES 30|Untranched|5|2.0|75,000,000|3
ITRAXX EUROPE CROSSOVER SERIES 31|Untranched|5|2.0|50,000,000|1
ITRAXX EUROPE CROSSOVER SERIES 32|Untranched|5|2.7|100,000,000|3
ITRAXX EUROPE CROSSOVER SERIES 33|Untranched|5|4.0|100,000,000|4
ITRAXX EUROPE CROSSOVER SERIES 34|Untranched|10|9.3|4,600,000,000|309
ITRAXX EUROPE SENIOR FINANCIALS SERIES 25|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 26|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 27|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 28|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 29|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 30|Untranched|2|0.7|75,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 31|Untranched|0|0.0|25,000,000|0
ITRAXX EUROPE SENIOR FINANCIALS SERIES 32|Untranched|2|0.7|25,000,000|1
ITRAXX EUROPE SENIOR FINANCIALS SERIES 33|Untranched|1|0.3|200,000,000|1
ITRAXX EUROPE SENIOR FINANCIALS SERIES 34|Untranched|9|6.3|2,325,000,000|53
ITRAXX EUROPE SERIES 25|Untranched|2|0.7|25,000,000|0
ITRAXX EUROPE SERIES 26|Untranched|4|1.3|200,000,000|1
ITRAXX EUROPE SERIES 27|Untranched|1|0.3|75,000,000|0
ITRAXX EUROPE SERIES 28|Tranched|5|3.3|300,000,000|1
ITRAXX EUROPE SERIES 28|Untranched|0|0.0|425,000,000|3
ITRAXX EUROPE SERIES 29|Untranched|0|0.0|75,000,000|1
ITRAXX EUROPE SERIES 30|Tranched|4|3.3|400,000,000|2
ITRAXX EUROPE SERIES 30|Untranched|5|2.0|975,000,000|5
ITRAXX EUROPE SERIES 31|Untranched|4|1.3|250,000,000|2
ITRAXX EUROPE SERIES 32|Tranched|4|4.0|150,000,000|2
ITRAXX EUROPE SERIES 32|Untranched|6|2.7|1,050,000,000|7
ITRAXX EUROPE SERIES 33|Untranched|6|4.3|600,000,000|6
ITRAXX EUROPE SERIES 34|Tranched|5|4.0|125,000,000|1
ITRAXX EUROPE SERIES 34|Untranched|9|8.3|13,475,000,000|246
ITRAXX EUROPE SUB FINANCIALS SERIES 32|Untranched|1|0.3|25,000,000|0
ITRAXX EUROPE SUB FINANCIALS SERIES 34|Untranched|7|3.3|200,000,000|11
ITRAXX JAPAN SERIES 31|Untranched|2|0.7|25,000,000|0
ITRAXX JAPAN SERIES 32|Untranched|1|0.3|25,000,000|0
ITRAXX JAPAN SERIES 33|Untranched|5|2.7|25,000,000|1
ITRAXX JAPAN SERIES 34|Untranched|10|7.7|75,000,000|4
MBX.FN30.650.67|Untranched|4|1.3|25,000,000|0
